"persona"	"nome"	"cognome"	"dataNascita"	"dataMorte"	"valoreConsulta"
"http://dati.camera.it/ocd/persona.rdf/p300657"	"LEONE"	"CATTANI"	"19060105"	"19801029"	"true"
"http://dati.camera.it/ocd/persona.rdf/p7450"	"ANTONIO"	"CAVINATO"	"18950202"	"19911208"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12015"	"GILBERTO"	"CELLINO"	"19030408"		"true"
"http://dati.camera.it/ocd/persona.rdf/p25550"	"FRANCESCO"	"CERABONA"	"18821209"	"19630726"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12026"	"ARTURO"	"CHIARI"			"true"
"http://dati.camera.it/ocd/persona.rdf/pr12027"	"LAURO"	"CHIAZZESE"	"19030806"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr12028"	"ERCOLE"	"CHIRI"	"18901101"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr12029"	"FERDINANDO"	"CIAFFI"			"true"
"http://dati.camera.it/ocd/persona.rdf/p27590"	"ALBERTO"	"CIANCA"	"18840101"	"19660108"	"true"
"http://dati.camera.it/ocd/persona.rdf/p7520"	"VINCENZO"	"CICERONE"	"19191114"	"19890105"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12032"	"ADOLFO"	"CILENTO"	"18751028"		"true"
"http://dati.camera.it/ocd/persona.rdf/p27610"	"MARIO"	"CINGOLANI"	"18830802"	"19710408"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr101224"	"UMBERTO"	"CIPOLLONE"	"18831120"		"true"
"http://dati.camera.it/ocd/persona.rdf/p13990"	"DOMENICO"	"CIUFOLI"	"18980703"	"19750430"	"true"
"http://dati.camera.it/ocd/persona.rdf/p7540"	"IVO"	"COCCIA"	"18911223"	"19790731"	"true"
"http://dati.camera.it/ocd/persona.rdf/p12290"	"FRANCESCO"	"COCCO ORTU"	"19120428"	"19690116"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12037"	"GUIDO"	"COCEANIS"			"true"
"http://dati.camera.it/ocd/persona.rdf/pr12038"	"ANTONIO DANTE"	"CODA"	"18991221"		"true"
"http://dati.camera.it/ocd/persona.rdf/p25610"	"DOMENICO"	"COLASANTO"	"18960118"	"19660908"	"true"
"http://dati.camera.it/ocd/persona.rdf/p14130"	"GIULIO"	"COLI"	"18991008"	"19750909"	"true"
"http://dati.camera.it/ocd/persona.rdf/p18370"	"ARTURO RAFFAELLO"	"COLOMBI"	"19000722"	"19831206"	"true"
"http://dati.camera.it/ocd/persona.rdf/p11360"	"GUSTAVO"	"COLONNETTI"	"18861108"	"19680320"	"true"
"http://dati.camera.it/ocd/persona.rdf/p27660"	"LUIGI"	"CORAZZIN"	"18881022"	"19461203"	"true"
"http://dati.camera.it/ocd/persona.rdf/p7580"	"EPICARMO"	"CORBINO"	"18900718"	"19840425"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr10691"	"FELICE"	"CORINI"	"18891013"	"19461222"	"true"
"http://dati.camera.it/ocd/persona.rdf/p12020"	"CAMILLO"	"CORSANEGO"	"18910320"	"19631009"	"true"
"http://dati.camera.it/ocd/persona.rdf/p27680"	"GIOVANNI"	"COSATTINI"	"18780105"	"19540801"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12046"	"REMO"	"COSTA"			"true"
"http://dati.camera.it/ocd/persona.rdf/p27700"	"AMERIGO"	"CRISPO"	"18860217"	"19501029"	"true"
"http://dati.camera.it/ocd/persona.rdf/p27710"	"BENEDETTO"	"CROCE"	"18660225"	"19521120"	"true"
"http://dati.camera.it/ocd/persona.rdf/p11390"	"EDOARDO"	"D'ONOFRIO"	"19010210"	"19730815"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12049"	"ALDO"	"DAMO"	"19060421"		"true"
"http://dati.camera.it/ocd/persona.rdf/p25690"	"RAFFAELE"	"DE CARO"	"18830329"	"19610604"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12050"	"RICCARDO"	"DE CATALDO"	"18950519"		"true"
"http://dati.camera.it/ocd/persona.rdf/p303409"	"ENRICO"	"DE NICOLA"		"19591001"	"true"
"http://dati.camera.it/ocd/persona.rdf/p17200"	"GIACOMO"	"DE PALMA"	"18991126"	"19760524"	"true"
"http://dati.camera.it/ocd/persona.rdf/p300766"	"MICHELE"	"DE PIETRO"		"19671007"	"true"
"http://dati.camera.it/ocd/persona.rdf/pr12057"	"GUIDO"	"DE RUGGIERO"	"18880323"		"true"
"http://dati.camera.it/ocd/persona.rdf/pr12058"	"MARINO"	"DE STEFANO"	"19031003"		"true"
