"persona"	"nome"	"cognome"	"dataNascita"	"dataMorte"	"riferimento"	"legislatura"
"http://dati.camera.it/ocd/persona.rdf/p200816"	"CARLO"	"ROGNONI"	"19420102"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_11"
"http://dati.camera.it/ocd/persona.rdf/p200816"	"CARLO"	"ROGNONI"	"19420102"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_12"
"http://dati.camera.it/ocd/persona.rdf/p200816"	"CARLO"	"ROGNONI"	"19420102"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_13"
"http://dati.camera.it/ocd/persona.rdf/p200821"	"MAURIZIO"	"RONCONI"	"19530811"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_13"
"http://dati.camera.it/ocd/persona.rdf/p200821"	"MAURIZIO"	"RONCONI"	"19530811"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_14"
"http://dati.camera.it/ocd/persona.rdf/p200825"	"SERGIO"	"ROSSI"	"19520427"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_13"
"http://dati.camera.it/ocd/persona.rdf/p200842"	"ERSILIA"	"SALVATO"	"19410630"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_10"
"http://dati.camera.it/ocd/persona.rdf/p200842"	"ERSILIA"	"SALVATO"	"19410630"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_11"
"http://dati.camera.it/ocd/persona.rdf/p200842"	"ERSILIA"	"SALVATO"	"19410630"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_12"
"http://dati.camera.it/ocd/persona.rdf/p200842"	"ERSILIA"	"SALVATO"	"19410630"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_13"
"http://dati.camera.it/ocd/persona.rdf/p200842"	"ERSILIA"	"SALVATO"	"19410630"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_09"
"http://dati.camera.it/ocd/persona.rdf/p200852"	"MARIA ANTONIETTA"	"SARTORI"	"19471009"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_12"
"http://dati.camera.it/ocd/persona.rdf/p200852"	"MARIA ANTONIETTA"	"SARTORI"	"19471009"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_13"
"http://dati.camera.it/ocd/persona.rdf/p200880"	"ANTONIO"	"SERENA"	"19480301"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_11"
"http://dati.camera.it/ocd/persona.rdf/p200880"	"ANTONIO"	"SERENA"	"19480301"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_12"
"http://dati.camera.it/ocd/persona.rdf/p200880"	"ANTONIO"	"SERENA"	"19480301"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_13"
"http://dati.camera.it/ocd/persona.rdf/p200888"	"MARIA GRAZIA"	"SILIQUINI"	"19480415"		"senato"	"http://dati.camera.it/ocd/legislatura.rdf/repubblica_12"
